id,expert,sign_id,concept,answer,comment,flag_reasons,hamnosys,created_at
1,Abdelli hakim,2,عنوان,YES,C'est juste mais il ya un autre signe maison,,,2026-04-23 10:58:44
445,Meziane Lamri,1,يقبل,YES,,,,2026-05-05 20:05:14
446,Meziane Lamri,2,عنوان,NO,,,,2026-05-05 20:05:37
742,Meziane Lamri,3,صديق,NO,Amitié,,,2026-05-06 20:14:30
447,Meziane Lamri,4,أغسطس,YES,,,,2026-05-05 20:06:57
448,Meziane Lamri,5,يتصل,NO,,,,2026-05-05 20:08:32
449,Meziane Lamri,7,جيش,ALMOST,,,,2026-05-06 19:45:49
450,Meziane Lamri,10,ينتظر,NO,,,,2026-05-05 20:10:13
451,Meziane Lamri,11,مع,YES,,,,2026-05-05 20:10:17
452,Meziane Lamri,12,لديه,YES,,,,2026-05-05 20:10:30
453,Meziane Lamri,13,أبريل,NO,,,,2026-05-05 20:10:56
454,Meziane Lamri,14,منخفض,YES,,,,2026-05-05 20:11:00
455,Meziane Lamri,16,يشرب,YES,,,,2026-05-05 20:11:04
456,Meziane Lamri,17,جيد,YES,,,,2026-05-05 20:11:09
677,Meziane Lamri,18,مرحبا,NO,Merci,,,2026-05-06 19:46:05
457,Meziane Lamri,19,فم,YES,,,,2026-05-05 20:11:32
458,Meziane Lamri,20,زجاجة,YES,,,,2026-05-05 20:11:44
459,Meziane Lamri,21,ضجيج,YES,,,,2026-05-05 20:12:06
460,Meziane Lamri,22,مكتب,NO,,,,2026-05-05 20:12:15
461,Meziane Lamri,23,يختبئ,YES,,,,2026-05-05 20:12:34
743,Meziane Lamri,24,قبعة,NO,Je sais,,,2026-05-06 20:14:45
462,Meziane Lamri,25,أحذية,ALMOST,,,,2026-05-06 19:46:37
463,Meziane Lamri,26,قميص,YES,,,,2026-05-05 20:15:22
464,Meziane Lamri,27,يبحث,YES,,,,2026-05-05 20:15:31
465,Meziane Lamri,28,يبحث,YES,,,,2026-05-05 20:15:34
466,Meziane Lamri,29,كلب,NO,,,,2026-05-05 20:15:46
467,Meziane Lamri,30,يختار,YES,,,,2026-05-05 20:15:53
679,Meziane Lamri,31,سينما,NO,,,,2026-05-06 19:47:01
468,Meziane Lamri,33,يبدأ,YES,,,,2026-05-05 20:17:18
469,Meziane Lamri,35,لون,ALMOST,,,,2026-05-05 20:17:43
470,Meziane Lamri,37,يقطع,YES,,,,2026-05-05 20:17:50
471,Meziane Lamri,38,قصير,YES,,,,2026-05-05 20:17:59
472,Meziane Lamri,39,يصرخ,YES,,,,2026-05-05 20:18:20
473,Meziane Lamri,40,مطبخ,NO,,,,2026-05-05 20:18:28
474,Meziane Lamri,41,خطير,YES,,,,2026-05-05 20:18:35
475,Meziane Lamri,44,غداً,YES,,,,2026-05-05 20:18:39
476,Meziane Lamri,45,أسنان,YES,,,,2026-05-05 20:18:43
477,Meziane Lamri,47,إصبع,YES,,,,2026-05-05 20:18:53
478,Meziane Lamri,48,ظهر,YES,,,,2026-05-05 20:19:03
479,Meziane Lamri,49,شك,YES,,,,2026-05-05 20:19:18
480,Meziane Lamri,50,حق,ALMOST,,,,2026-05-05 20:19:32
481,Meziane Lamri,51,ديسمبر,NO,,,,2026-05-05 20:19:51
752,Meziane Lamri,52,يقرر,NO,تلد، تنجب,,,2026-05-06 20:28:25
482,Meziane Lamri,53,ماء,YES,,,,2026-05-05 20:21:39
483,Meziane Lamri,54,عدو,YES,,,,2026-05-05 20:21:58
484,Meziane Lamri,57,بيئة,YES,,,,2026-05-05 20:24:27
485,Meziane Lamri,58,يأمل,YES,,,,2026-05-05 20:26:08
486,Meziane Lamri,59,شرق,YES,,,,2026-05-05 20:26:25
487,Meziane Lamri,60,يفعل,YES,,,,2026-05-05 20:26:36
488,Meziane Lamri,61,يفعل,YES,,,,2026-05-05 20:26:50
489,Meziane Lamri,62,نافذة,YES,,,,2026-05-05 20:26:53
490,Meziane Lamri,63,زهرة,YES,,,,2026-05-05 20:26:58
491,Meziane Lamri,64,كرة القدم,YES,,,,2026-05-05 20:27:02
492,Meziane Lamri,65,قوة,YES,,,,2026-05-05 20:27:43
493,Meziane Lamri,67,بارد,YES,,,,2026-05-05 20:27:47
494,Meziane Lamri,68,جبن,NO,,,,2026-05-05 20:28:01
495,Meziane Lamri,69,حدود,YES,,,,2026-05-05 20:28:24
496,Meziane Lamri,70,فاكهة,NO,,,,2026-05-05 20:28:36
497,Meziane Lamri,71,ولد,NO,,,,2026-05-05 20:28:47
498,Meziane Lamri,72,ركبتان,YES,,,,2026-05-05 20:28:57
680,Meziane Lamri,73,حكومة,YES,Ministère,,,2026-05-06 19:47:28
499,Meziane Lamri,74,كبير,YES,,,,2026-05-05 20:29:38
500,Meziane Lamri,75,عالي,YES,,,,2026-05-05 20:29:47
501,Meziane Lamri,76,مستشفى,NO,,,,2026-05-05 20:29:55
502,Meziane Lamri,78,يتخيل,NO,,,,2026-05-05 20:30:16
503,Meziane Lamri,79,صناعة,YES,,,,2026-05-05 20:30:30
504,Meziane Lamri,81,يناير,YES,,,,2026-05-05 20:30:37
681,Meziane Lamri,82,حديقة,YES,Brûler,,,2026-05-06 19:49:17
505,Meziane Lamri,84,فرح,YES,,,,2026-05-05 20:31:47
506,Meziane Lamri,85,يوم,NO,,,,2026-05-05 20:31:54
507,Meziane Lamri,86,يوليو,ALMOST,,,,2026-05-05 20:32:05
508,Meziane Lamri,87,تنورة,ALMOST,,,,2026-05-05 20:32:18
509,Meziane Lamri,88,حليب,NO,,,,2026-05-05 20:32:28
510,Meziane Lamri,89,لغة,NO,,,,2026-05-05 20:32:40
511,Meziane Lamri,90,رسالة,NO,,,,2026-05-05 20:32:48
753,Meziane Lamri,91,رسالة,NO,Poste,,,2026-05-06 20:28:45
512,Meziane Lamri,92,سرير,YES,,,,2026-05-05 20:33:18
513,Meziane Lamri,93,قانون,YES,,,,2026-05-05 20:33:24
744,Meziane Lamri,95,طويل,NO,Trop parler,,,2026-05-06 20:17:30
514,Meziane Lamri,97,الاثنين,YES,,,,2026-05-05 20:34:30
515,Meziane Lamri,98,قمر,YES,,,,2026-05-05 20:35:06
516,Meziane Lamri,99,خفيف,YES,,,,2026-05-05 20:35:15
682,Meziane Lamri,100,متجر,NO,Enseignant,,,2026-05-06 19:49:53
517,Meziane Lamri,101,مايو,NO,,,,2026-05-05 20:35:51
518,Meziane Lamri,102,يد,YES,,,,2026-05-05 20:36:24
519,Meziane Lamri,103,لكن,NO,,,,2026-05-05 20:36:35
520,Meziane Lamri,104,منزل,YES,,,,2026-05-05 20:36:38
683,Meziane Lamri,105,مريض,NO,Hôpital,,,2026-05-06 19:50:08
521,Meziane Lamri,106,يأكل,YES,,,,2026-05-05 20:37:01
522,Meziane Lamri,107,معطف,YES,,,,2026-05-05 20:37:04
684,Meziane Lamri,108,الثلاثاء,NO,,,,2026-05-06 19:50:14
523,Meziane Lamri,109,مارس,NO,,,,2026-05-05 20:38:19
524,Meziane Lamri,110,صباح,YES,Nouvelle,,,2026-05-05 20:39:16
525,Meziane Lamri,111,سيئ,YES,,,,2026-05-05 20:39:28
526,Meziane Lamri,112,كذب,YES,,,,2026-05-05 20:39:38
527,Meziane Lamri,113,بحر,NO,,,,2026-05-05 20:40:36
528,Meziane Lamri,114,شكراً,YES,,,,2026-05-05 20:40:40
529,Meziane Lamri,115,الأربعاء,NO,,,,2026-05-05 20:40:45
530,Meziane Lamri,116,يضع,ALMOST,,,,2026-05-05 20:40:58
531,Meziane Lamri,117,ظهيرة,YES,,,,2026-05-05 20:41:01
532,Meziane Lamri,118,شهر,NO,,,,2026-05-05 20:41:14
533,Meziane Lamri,119,جبل,YES,,,,2026-05-05 20:41:18
534,Meziane Lamri,120,موت,YES,,,,2026-05-05 20:41:25
535,Meziane Lamri,121,مبلول,YES,,,,2026-05-05 20:41:31
536,Meziane Lamri,122,متحف,YES,,,,2026-05-05 20:41:43
754,Meziane Lamri,123,أم,NO,Ami,,,2026-05-06 20:28:55
537,Meziane Lamri,124,طبيب,NO,,,,2026-05-05 20:42:34
538,Meziane Lamri,125,طبيعة,YES,,,,2026-05-05 20:43:15
539,Meziane Lamri,126,اسم,YES,,,,2026-05-05 20:43:18
540,Meziane Lamri,127,شمال,YES,,,,2026-05-05 20:44:58
685,Meziane Lamri,128,ليل,NO,Soir,,,2026-05-06 19:50:27
541,Meziane Lamri,129,عصفور,YES,,,,2026-05-05 20:45:30
542,Meziane Lamri,130,غرب,YES,,,,2026-05-05 20:45:44
543,Meziane Lamri,131,نعم,YES,,,,2026-05-05 20:45:48
544,Meziane Lamri,132,خبز,YES,,,,2026-05-05 20:45:57
545,Meziane Lamri,133,سلام,NO,,,,2026-05-05 20:46:07
546,Meziane Lamri,134,سروال,YES,,,,2026-05-05 20:46:26
547,Meziane Lamri,135,ورق,ALMOST,,,,2026-05-05 20:46:42
548,Meziane Lamri,137,فقير,NO,,,,2026-05-05 20:46:55
549,Meziane Lamri,138,جلد,YES,,,,2026-05-05 20:47:48
